AF코드,AF코드이름,비용출처,광고유형,캠페인,하위캠페인,디바이스,채널,매체명,상품명,브랜드/기획전,기획전 번호,부서명,키워드(소재),기간,노출수
500D,W네이버브랜드검색_썸네일1,거래액확대,SA,매출,매출,PC,브랜드검색,네이버,-,LFmall,없음,e-마케팅,-,20220515,0
500D,W네이버브랜드검색_썸네일1,거래액확대,SA,매출,매출,PC,브랜드검색,네이버,-,LFmall,없음,e-마케팅,-,20220514,0
500E,W네이버브랜드검색_썸네일2,거래액확대,SA,매출,매출,PC,브랜드검색,네이버,-,LFmall,없음,e-마케팅,-,20220510,0
500F,W네이버브랜드검색_썸네일3,거래액확대,SA,매출,매출,PC,브랜드검색,네이버,-,LFmall,없음,e-마케팅,-,20220514,0
500F,W네이버브랜드검색_썸네일3,거래액확대,SA,매출,매출,PC,브랜드검색,네이버,-,LFmall,없음,e-마케팅,-,20220513,0
500F,W네이버브랜드검색_썸네일3,거래액확대,SA,매출,매출,PC,브랜드검색,네이버,-,LFmall,없음,e-마케팅,-,20220512,0
500F,W네이버브랜드검색_썸네일3,거래액확대,SA,매출,매출,PC,브랜드검색,네이버,-,LFmall,없음,e-마케팅,-,20220511,0
500F,W네이버브랜드검색_썸네일3,거래액확대,SA,매출,매출,PC,브랜드검색,네이버,-,LFmall,없음,e-마케팅,-,20220510,0
500F,W네이버브랜드검색_썸네일3,거래액확대,SA,매출,매출,PC,브랜드검색,네이버,-,LFmall,없음,e-마케팅,-,20220509,0
500G,W브랜드검색_홈링크,거래액확대,SA,매출,매출,PC,브랜드검색,네이버,P홈링크,LFmall,없음,e-마케팅,-,20220515,0
500G,W브랜드검색_홈링크,거래액확대,SA,매출,매출,PC,브랜드검색,네이버,P홈링크,LFmall,없음,e-마케팅,-,20220514,0
500G,W브랜드검색_홈링크,거래액확대,SA,매출,매출,PC,브랜드검색,네이버,P홈링크,LFmall,없음,e-마케팅,-,20220513,0
500G,W브랜드검색_홈링크,거래액확대,SA,매출,매출,PC,브랜드검색,네이버,P홈링크,LFmall,없음,e-마케팅,-,20220512,0
500G,W브랜드검색_홈링크,거래액확대,SA,매출,매출,PC,브랜드검색,네이버,P홈링크,LFmall,없음,e-마케팅,-,20220511,0
500G,W브랜드검색_홈링크,거래액확대,SA,매출,매출,PC,브랜드검색,네이버,P홈링크,LFmall,없음,e-마케팅,-,20220510,0
500G,W브랜드검색_홈링크,거래액확대,SA,매출,매출,PC,브랜드검색,네이버,P홈링크,LFmall,없음,e-마케팅,-,20220509,0
501B,W네이버브랜드검색_닥스_타이틀,거래액확대,SA,매출,매출,PC,브랜드검색,네이버,P메인타이틀,닥스,없음,e-마케팅,-,20220515,0
501B,W네이버브랜드검색_닥스_타이틀,거래액확대,SA,매출,매출,PC,브랜드검색,네이버,P메인타이틀,닥스,없음,e-마케팅,-,20220514,0
